lga_code16,lga_name16,lga_state16
16900,Shellharbour,New South Wales
16950,Shoalhaven,New South Wales
17000,Singleton,New South Wales
17040,Snowy Monaro Regional,New South Wales
17080,Snowy Valleys,New South Wales
17100,Strathfield,New South Wales
17150,Sutherland Shire,New South Wales
17200,Sydney,New South Wales
17310,Tamworth Regional,New South Wales
17350,Temora,New South Wales
17400,Tenterfield,New South Wales
17420,The Hills Shire,New South Wales
17550,Tweed,New South Wales
17620,Upper Hunter Shire,New South Wales
17640,Upper Lachlan Shire,New South Wales
17650,Uralla,New South Wales
17750,Wagga Wagga,New South Wales
17850,Walcha,New South Wales
17900,Walgett,New South Wales
17950,Warren,New South Wales
18020,Warrumbungle Shire,New South Wales
18050,Waverley,New South Wales
18100,Weddin,New South Wales
18200,Wentworth,New South Wales
18230,Western Plains Regional,New South Wales
18250,Willoughby,New South Wales
18350,Wingecarribee,New South Wales
18400,Wollondilly,New South Wales
18450,Wollongong,New South Wales
18500,Woollahra,New South Wales
18710,Yass Valley,New South Wales
19399,Unincorporated NSW,New South Wales
19499,No usual address (NSW),New South Wales
19799,Migratory - Offshore - Shipping (NSW),New South Wales
20110,Alpine,Victoria
20260,Ararat,Victoria
20570,Ballarat,Victoria
20660,Banyule,Victoria
20740,Bass Coast,Victoria
20830,Baw Baw,Victoria
20910,Bayside,Victoria
21010,Benalla,Victoria
21110,Boroondara,Victoria
21180,Brimbank,Victoria
21270,Buloke,Victoria
21370,Campaspe,Victoria
21450,Cardinia,Victoria
21610,Casey,Victoria
21670,Central Goldfields,Victoria
21750,Colac-Otway,Victoria
21830,Corangamite,Victoria
21890,Darebin,Victoria
22110,East Gippsland,Victoria
22170,Frankston,Victoria
22250,Gannawarra,Victoria
22310,Glen Eira,Victoria
22410,Glenelg,Victoria
22490,Golden Plains,Victoria
22620,Greater Bendigo,Victoria
22670,Greater Dandenong,Victoria
22750,Greater Geelong,Victoria
22830,Greater Shepparton,Victoria
22910,Hepburn,Victoria
22980,Hindmarsh,Victoria
23110,Hobsons Bay,Victoria
23190,Horsham,Victoria
23270,Hume,Victoria
23350,Indigo,Victoria
23430,Kingston (Vic.),Victoria
23670,Knox,Victoria
23810,Latrobe (Vic.),Victoria
23940,Loddon,Victoria
24130,Macedon Ranges,Victoria
24210,Manningham,Victoria
24250,Mansfield,Victoria
24330,Maribyrnong,Victoria
24410,Maroondah,Victoria
24600,Melbourne,Victoria
24650,Melton,Victoria
24780,Mildura,Victoria
24850,Mitchell,Victoria
24900,Moira,Victoria
24970,Monash,Victoria
25060,Moonee Valley,Victoria
25150,Moorabool,Victoria
25250,Moreland,Victoria
25340,Mornington Peninsula,Victoria
25430,Mount Alexander,Victoria
25490,Moyne,Victoria
25620,Murrindindi,Victoria
25710,Nillumbik,Victoria
25810,Northern Grampians,Victoria
25900,Port Phillip,Victoria
25990,Pyrenees,Victoria
26080,Queenscliffe,Victoria
26170,South Gippsland,Victoria
26260,Southern Grampians,Victoria
26350,Stonnington,Victoria
26430,Strathbogie,Victoria
26490,Surf Coast,Victoria
26610,Swan Hill,Victoria
26670,Towong,Victoria
26700,Wangaratta,Victoria
26730,Warrnambool,Victoria
26810,Wellington,Victoria
26890,West Wimmera,Victoria
26980,Whitehorse,Victoria
27070,Whittlesea,Victoria
27170,Wodonga,Victoria
27260,Wyndham,Victoria
27350,Yarra,Victoria
27450,Yarra Ranges,Victoria
27630,Yarriambiack,Victoria
29399,Unincorporated Vic,Victoria
29499,No usual address (Vic.),Victoria
29799,Migratory - Offshore - Shipping (Vic.),Victoria
